day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;INTARIAN_PEPPER_ROOT;10587;9;10584;25;;;10601;9;10604;25;;;10594.0;0.0
1;0;ASH_COATED_OSMIUM;10000;13;9998;21;;;10016;13;10019;21;;;10008.0;0.0
1;100;INTARIAN_PEPPER_ROOT;10587;8;;;;;10601;8;10604;22;;;10594.0;0.0
1;100;ASH_COATED_OSMIUM;10000;15;9998;26;;;10019;26;;;;;10009.5;0.0
1;200;ASH_COATED_OSMIUM;10000;15;9998;30;;;10019;30;;;;;10009.5;0.0
1;200;INTARIAN_PEPPER_ROOT;10587;9;10584;22;;;10604;22;;;;;10595.5;0.0
1;300;INTARIAN_PEPPER_ROOT;10586;8;10583;23;;;10600;8;10604;23;;;10593.0;0.0
1;300;ASH_COATED_OSMIUM;9998;27;;;;;10016;12;10019;27;;;10007.0;0.0
1;400;INTARIAN_PEPPER_ROOT;10586;10;10583;15;;;10600;10;10604;15;;;10593.0;0.0
1;400;ASH_COATED_OSMIUM;10010;8;10000;12;9998;25;10016;12;10019;25;;;10013.0;0.0
1;500;INTARIAN_PEPPER_ROOT;10586;9;10583;19;;;10600;9;10604;19;;;10593.0;0.0
1;500;ASH_COATED_OSMIUM;10000;11;9998;22;;;10017;11;10019;22;;;10008.5;0.0
1;600;ASH_COATED_OSMIUM;10000;13;9998;25;;;10019;25;;;;;10009.5;0.0
1;600;INTARIAN_PEPPER_ROOT;10583;23;;;;;10601;11;10604;23;;;10592.0;0.0
1;700;INTARIAN_PEPPER_ROOT;10587;9;10583;24;;;10601;9;10604;24;;;10594.0;0.0
1;700;ASH_COATED_OSMIUM;10000;11;;;;;10016;11;;;;;10008.0;0.0
1;800;INTARIAN_PEPPER_ROOT;10587;8;;;;;10601;8;10604;20;;;10594.0;0.0
1;800;ASH_COATED_OSMIUM;10001;12;9998;27;;;10019;27;;;;;10010.0;0.0
1;900;INTARIAN_PEPPER_ROOT;10587;8;10584;25;;;10604;25;;;;;10595.5;0.0
1;900;ASH_COATED_OSMIUM;10001;12;9998;21;;;10019;21;;;;;10010.0;0.0
1;1000;ASH_COATED_OSMIUM;10001;14;9998;28;;;10017;14;10019;28;;;10009.0;0.0
1;1000;INTARIAN_PEPPER_ROOT;10586;10;10583;21;;;10600;10;10603;21;;;10593.0;0.0
1;1100;INTARIAN_PEPPER_ROOT;10586;11;10583;24;;;10600;11;10603;24;;;10593.0;0.0
1;1100;ASH_COATED_OSMIUM;10001;13;9998;28;;;10017;13;10019;28;;;10009.0;0.0
1;1200;INTARIAN_PEPPER_ROOT;10586;9;10583;22;;;10603;22;;;;;10594.5;0.0
1;1200;ASH_COATED_OSMIUM;10001;12;;;;;;;;;;;10001.0;0.0
1;1300;INTARIAN_PEPPER_ROOT;10586;12;10583;16;;;10600;12;;;;;10593.0;0.0
1;1300;ASH_COATED_OSMIUM;10001;13;9999;23;;;10017;13;;;;;10009.0;0.0
1;1400;ASH_COATED_OSMIUM;;;;;;;10017;10;10020;24;;;10017.0;0.0
1;1400;INTARIAN_PEPPER_ROOT;10586;10;10583;17;;;10600;10;10604;17;;;10593.0;0.0
1;1500;INTARIAN_PEPPER_ROOT;10586;11;10583;16;;;10604;16;;;;;10595.0;0.0
1;1500;ASH_COATED_OSMIUM;10001;12;9999;29;;;10017;12;10020;29;;;10009.0;0.0
1;1600;INTARIAN_PEPPER_ROOT;10587;8;10583;23;;;10601;8;10604;23;;;10594.0;0.0
1;1600;ASH_COATED_OSMIUM;10001;14;9999;23;;;10017;14;10020;23;;;10009.0;0.0
1;1700;INTARIAN_PEPPER_ROOT;10586;9;10582;15;;;10600;9;10603;15;;;10593.0;0.0
1;1700;ASH_COATED_OSMIUM;10001;13;9999;24;;;10018;13;;;;;10009.5;0.0
1;1800;ASH_COATED_OSMIUM;10001;13;9999;28;;;10011;4;10017;13;10020;28;10006.0;0.0
1;1800;INTARIAN_PEPPER_ROOT;10586;9;10583;16;;;10600;9;10603;16;;;10593.0;0.0
1;1900;INTARIAN_PEPPER_ROOT;10586;10;10583;25;;;10600;10;10603;25;;;10593.0;0.0
1;1900;ASH_COATED_OSMIUM;10002;15;9999;24;;;10018;15;10020;24;;;10010.0;0.0
1;2000;INTARIAN_PEPPER_ROOT;10586;12;;;;;10600;12;10603;22;;;10593.0;0.0
1;2000;ASH_COATED_OSMIUM;10002;13;10000;22;;;10018;13;10021;22;;;10010.0;0.0
1;2100;INTARIAN_PEPPER_ROOT;10586;8;;;;;10600;8;10603;15;;;10593.0;0.0
1;2100;ASH_COATED_OSMIUM;10003;12;10000;25;;;10019;12;;;;;10011.0;0.0
1;2200;INTARIAN_PEPPER_ROOT;10586;12;10583;23;;;10600;12;10603;23;;;10593.0;0.0
1;2200;ASH_COATED_OSMIUM;10003;10;10000;29;;;10019;10;10021;29;;;10011.0;0.0
1;2300;ASH_COATED_OSMIUM;10003;14;10000;20;;;10019;14;10021;20;;;10011.0;0.0
